time,open,high,low,close,volume
2024-11-01 01:17:00,70137.73,70137.73,70064.75,70098.36,909
2024-11-01 01:18:00,70098.43,70134.56,70073.52,70133.99,672
2024-11-01 01:19:00,70131.49,70160.57,70102.02,70129.18,662
2024-11-01 01:20:00,70132.25,70163.64,70118.28,70147.68,492
2024-11-01 01:21:00,70147.37,70174.34,70130.01,70150.36,644
2024-11-01 01:22:00,70150.11,70151.6,70102.72,70119.99,413
2024-11-01 01:23:00,70120.74,70120.74,70068.21,70085.3,528
2024-11-01 01:24:00,70085.37,70122.58,70078.3,70121.99,388
2024-11-01 01:25:00,70122.39,70127.49,70073.17,70078.49,308
2024-11-01 01:26:00,70078.74,70126.75,70070.04,70121.62,252
2024-11-01 01:27:00,70123.96,70162.92,70121.28,70153.77,272
2024-11-01 01:28:00,70154.13,70169.53,70133.33,70168.49,125
2024-11-01 01:29:00,70169.91,70200.33,70168.8,70198.99,104
2024-11-01 01:30:00,70200.97,70212.75,70152.61,70212.74,269
2024-11-01 01:31:00,70212.49,70223.92,70184.05,70215.24,226
2024-11-01 01:32:00,70214.99,70237.79,70176.74,70185.49,166
2024-11-01 01:33:00,70185.24,70198.74,70166.78,70197.99,133
2024-11-01 01:34:00,70198.24,70255.93,70189.74,70230.24,260
2024-11-01 01:35:00,70228.74,70257.24,70223.37,70257.24,175
2024-11-01 01:36:00,70257.49,70335.41,70233.36,70303.74,506
2024-11-01 01:37:00,70295.24,70358.85,70295.24,70316.99,248
2024-11-01 01:38:00,70317.24,70317.74,70285.49,70312.74,257
2024-11-01 01:39:00,70312.49,70312.49,70268.99,70305.74,172
2024-11-01 01:40:00,70304.74,70333.99,70284.24,70290.74,149
2024-11-01 01:41:00,70290.99,70341.23,70276.14,70337.95,686
2024-11-01 01:42:00,70338.2,70350.55,70297.07,70299.4,384
2024-11-01 01:43:00,70299.15,70322.52,70299.15,70319.08,146
2024-11-01 01:44:00,70324.41,70389.74,70320.49,70389.74,157
2024-11-01 01:45:00,70389.99,70415.99,70365.45,70388.49,197
2024-11-01 01:46:00,70392.22,70438.62,70390.41,70412.99,216
2024-11-01 01:47:00,70414.35,70424.93,70387.05,70387.05,146
2024-11-01 01:48:00,70387.05,70409.63,70385.89,70401.49,82
2024-11-01 01:49:00,70403.24,70426.76,70387.07,70389.73,175
2024-11-01 01:50:00,70390.0,70394.87,70351.78,70357.54,237
2024-11-01 01:51:00,70358.94,70371.74,70325.11,70335.49,239
2024-11-01 01:52:00,70336.24,70352.24,70325.03,70337.63,138
2024-11-01 01:53:00,70343.99,70347.37,70324.44,70333.24,131
2024-11-01 01:54:00,70332.92,70372.72,70325.87,70357.53,163
2024-11-01 01:55:00,70357.28,70363.31,70325.6,70359.54,225
2024-11-01 01:56:00,70360.04,70416.49,70352.79,70399.99,299
2024-11-01 01:57:00,70393.7,70416.08,70379.33,70386.31,281
2024-11-01 01:58:00,70385.81,70391.83,70344.78,70350.74,250
2024-11-01 01:59:00,70345.25,70384.84,70333.87,70378.42,335
2024-11-01 02:00:00,70377.57,70483.49,70358.41,70454.74,489
2024-11-01 02:01:00,70454.99,70493.74,70443.19,70455.24,572
2024-11-01 02:02:00,70454.99,70465.49,70400.21,70448.49,633
2024-11-01 02:03:00,70447.74,70449.24,70397.25,70413.49,610
2024-11-01 02:04:00,70413.24,70425.75,70385.83,70413.49,540
2024-11-01 02:05:00,70413.49,70415.24,70356.62,70384.72,572
2024-11-01 02:06:00,70384.72,70384.97,70329.5,70334.74,548
2024-11-01 02:07:00,70334.49,70334.49,70287.01,70299.47,731
2024-11-01 02:08:00,70299.34,70344.49,70291.49,70328.7,619
2024-11-01 02:09:00,70328.45,70349.54,70316.71,70322.78,555
2024-11-01 02:10:00,70322.75,70330.65,70301.8,70315.24,360
2024-11-01 02:11:00,70314.99,70315.45,70295.36,70314.2,421
2024-11-01 02:12:00,70312.7,70362.29,70287.5,70362.29,421
